0.054286	0.054910	0.055167	0.068487	0.115885	0.132357
0.055992	0.057404	0.057971	0.076989	0.128079	0.161945
0.057696	0.059898	0.060744	0.085317	0.140347	0.194158
0.059392	0.062447	0.063499	0.093459	0.152691	0.227255
0.061077	0.065046	0.066253	0.101416	0.165177	0.264221
0.062763	0.067644	0.069070	0.109236	0.177945	0.308572
0.064435	0.070350	0.072076	0.117028	0.191356	0.357998
0.066102	0.073080	0.075561	0.124923	0.205905	0.419633
0.067762	0.075910	0.079776	0.133017	0.221660	0.504172
0.069416	0.078803	0.084696	0.141374	0.238300	0.638577
0.071065	0.081863	0.090245	0.149999	0.255982	1.146350
0.072713	0.085046	0.096236	0.158827	0.275079	1.886211
0.074370	0.088428	0.102497	0.167796	0.296767	2.575478
0.076053	0.092046	0.108990	0.176863	0.322258	3.298491
0.077789	0.095835	0.115669	0.186000	0.352727	4.013064
0.079614	0.099738	0.122498	0.195241	0.388874	4.727636
0.081559	0.103739	0.129496	0.204641	0.430071	5.442209
0.083680	0.107845	0.136632	0.214339	0.475873	6.156782
0.086011	0.112050	0.143930	0.224781	0.528307	6.871354
0.088587	0.116338	0.151475	0.236697	0.589669	7.585927
0.091472	0.120719	0.159397	0.251196	0.664452	8.300500
0.094693	0.125281	0.168008	0.268476	0.764972	9.015072
0.098232	0.130084	0.177330	0.288702	0.884899	9.729645
0.102118	0.135140	0.187496	0.311987	1.036895	10.444218
0.106315	0.140434	0.198381	0.338052	1.172369	11.158791
0.110874	0.145940	0.210196	0.366347	1.306253	11.873363
0.115751	0.151645	0.222965	0.396537	1.453315	12.587936
0.121024	0.157568	0.236539	0.428652	1.615340	13.302509
0.126700	0.163830	0.250336	0.463147	1.748039	14.017081
0.132818	0.170676	0.264245	0.500377	1.881785	14.731654
0.139417	0.178293	0.278344	0.539949	2.017280	15.446227
0.146411	0.186660	0.292735	0.580990	2.156453	16.160799
0.153741	0.195688	0.307501	0.623131	2.293827	16.875372
0.161376	0.205167	0.322736	0.666318	2.435328	17.589945
0.169347	0.215039	0.338565	0.710805	2.584734	18.304518
0.177723	0.225232	0.355176	0.756997	2.713222	19.019090
0.186590	0.235737	0.372738	0.805194	2.853929	19.733663
0.195956	0.246626	0.391477	0.854987	2.992584	20.448236
0.205799	0.257938	0.411419	0.905636	3.131444	21.162808
